title,price,description,category
Troco por carro,R$ 35.000,À venda   | 0 m² | Condomínio: R$ 0,"Terrenos, sítios e fazendas"
"Apartamento em Guarulhos, 50m, 2 quartos, 1 vaga, próximo ao Shopping Internacional",R$ 250.000,À venda   | 2 quartos | 50 m² | Condomínio: R$ 368,Apartamentos
"Apartamento para locação em presidente prudente, edificio santa helena, 3 dormitórios, 1 s",R$ 850,Para alugar   | 3 quartos | Condomínio: R$ 500,ApartamentosProfissional
"Casa para venda em presidente prudente, santa marta, 2 dormitórios, 1 banheiro, 2 vagas",R$ 185.000,À venda   | 2 quartos | 189 m²,CasasProfissional
"Apartamento para venda em presidente prudente, edifício aoki residence park, 4 dormitórios",R$ 1.750.000,À venda   | 4 quartos | 530 m² | Condomínio: R$ 1800,ApartamentosProfissional
Apto ed petit maison,R$ 260.000,À venda   | 2 quartos | 54 m² | Condomínio: R$ 390,Apartamentos
Casa a venda jd paulista - presidente prudente sp,R$ 395.000,À venda   | 3 quartos | 275 m²,Casas
Vendo Loja de Roupa Feminina,R$ 25.000,À venda,Comércio e indústria
Damha 4 Presidente Prudente,R$ 1.200,À venda   | 647 m²,"Terrenos, sítios e fazendas"
Alugo Apartamento,R$ 95.000,Para alugar   | 4 quartos | 130 m² | Condomínio: R$ 600,Apartamentos
Restaurante completo em excelente ponto comercial na Av Washington Luiz,R$ 950,À venda   | 82 m²,Comércio e indústria
Residência na Vila Claudia Gloria,R$ 470.000,Para alugar   | 2 quartos,Casas
Terreno Damha I,R$ 280.000,À venda   | 436 m²,"Terrenos, sítios e fazendas"
Jardim Novo Prudentino,R$ 220.000,À venda   | 3 quartos | 160 m²,CasasProfissional
Vende-se lanche com terreno,R$ 550,À venda   | 185 m²,"Terrenos, sítios e fazendas"
Residência na Cohab,R$ 116.000,Para alugar   | 2 quartos,Casas
"Terreno para venda em presidente prudente, são sebastião",R$ 1.100,À venda   | 252 m²,"Terrenos, sítios e fazendasProfissional"
Alugo apto proximo - Maristela,R$ 398.000,Para alugar   | 3 quartos | 120 m² | Condomínio: R$ 700,Apartamentos
"Aluga-se prédio comercial, todo azulejaria, laje",R$ 120.000,Para alugar   | 90 m² | Condomínio: R$ 0,Comércio e indústria
"Casa com 3 dormitórios à venda, 138 m² por R$ 398.000 - Residencial Parque dos Girassóis -",R$ 110.000,À venda   | 3 quartos | 138 m²,CasasProfissional
"Terreno para venda em presidente prudente, girassois",R$ 75.000,À venda   | 250 m²,"Terrenos, sítios e fazendasProfissional"
"Terreno para venda em presidente prudente, residencial sao paulo",R$ 295.000,À venda   | 252 m²,"Terrenos, sítios e fazendasProfissional"
"Casa para venda em são paulo, centro ( gardenia ) são paulo, 2 dormitórios, 1 banheiro, 4",R$ 670.000,À venda   | 2 quartos | 530 m²,CasasProfissional
Casa Jardim Itaipu R-0940,R$ 550.000,À venda   | 3 quartos | 104 m²,Casas
